Date,Enter your hours worked,Verified Production (Billing Department Only) Humble,Verified Production (Billing Department Only) Baytown,Location,Notes from Billing Department,Total Production,Baytown Production,Humble Production,Monthly Production Goal (Both Offices),Monthly Production per hour,Average daily Production,Over/Under Production goal,30% Production,UUID
11/01/2024,,"-1,296.00","1,103.00",Baytown Office,,"$69,567.03","$31,893.08","$37,673.95","$70,000.00",$457.68,"1,270.85",Under,"$20,870.11",101dc3f3-e94c-45cb-a9b9-14a558aba275
11/02/2024,,0.00,0.00,Humble Office,,,,,,,,,,67a03c2c-c87a-4c2b-80bb-1d1a12ec7e12
11/03/2024,,0.00,0.00,,,,,,,,,,,d07f6ddd-512f-42d1-92f8-b77ee2e56795
11/04/2024,,"4,342.00",-349.78,Humble Office,,,,,,,,,,34183cc7-dcdd-4ab2-915f-c4663583109a
11/05/2024,,"3,894.80",0.00,Baytown Office,,,,,,,,,,c697281c-c7c6-4b92-96e0-e354765f41a0
11/06/2024,,0.00,"5,239.00",Humble Office,,,,,,,,,,e515e728-4d76-44d8-8826-f621b8cfef6c
11/07/2024,,-118.60,"8,329.00",Baytown Office,,,,,,,,,,49392ed6-933e-4cee-8129-b0a52ab42a01
11/08/2024,,0.00,"3,937.00",Baytown Office,,,,,,,,,,0402df49-a9fc-42aa-862b-4ca98bc6d17e
11/09/2024,,0.00,0.00,Baytown Office,,,,,,,,,,d7cd97e6-1dd1-4b01-9885-051bb07e46b2
11/10/2024,,0.00,0.00,,,,,,,,,,,892142c9-d24d-4e1a-bbe7-b30d15f4a701
11/11/2024,,"11,348.00","-1,573.58",Humble Office,,,,,,,,,,1c8ec5b4-3e1e-482c-8dcc-5876b522e728
11/12/2024,,"3,025.40",0.00,Humble Office,,,,,,,,,,7ee824d2-7284-4b5e-ac7e-e267d34dcd47
11/13/2024,,-1.00,"2,520.00",Baytown Office,,,,,,,,,,12d62ef1-cebf-4b9c-b13f-997b08113acb
11/14/2024,,797.20,"5,700.00",Baytown Office,,,,,,,,,,c84322ab-4151-4575-b9ac-dc13e92e0c64
11/15/2024,,-246.00,"4,304.00",Baytown Office,,,,,,,,,,a7dd2549-e0a8-43ad-a1e6-5944de5647df
11/16/2024,,0.00,"3,748.00",,,,,,,,,,,2bb799e1-7ee9-45c7-a9da-ffd05b603480
11/17/2024,,0.00,0.00,Humble Office,,,,,,,,,,89370602-931f-402f-8ca8-3d3e6f07e699
11/18/2024,,"4,809.00",-548.48,Humble Office,,,,,,,,,,f9520454-47e4-44c3-8063-423bcf345528
11/19/2024,,"6,304.00",-418.00,,,,,,,,,,,1fc0eca3-c104-4ef6-9b27-80cff4ed1936
11/20/2024,,-161.00,0.00,,,,,,,,,,,1a1bc963-76ab-4bd1-97e9-532080fae8f1
11/21/2024,,"-1,175.45",0.00,,,,,,,,,,,aaf022ea-0b7d-4742-9084-48fd5e1e1781
11/22/2024,,-4.00,0.00,,,,,,,,,,,d45c6581-5f8f-4056-8433-80c88cb6e8d6
11/23/2024,,0.00,0.00,Humble Office,,,,,,,,,,67b6fda9-4496-41fd-9b70-90e33ad61041
11/24/2024,,$0.00,0.00,Humble Office,,,,,,,,,,ffce2e28-06e7-4ee7-8f0d-3c11c859af5f
11/25/2024,,"4,689.00",-$459.08,Baytown Office,,,,,,,,,,8aad5642-d9fc-497f-b6f4-8cb326285247
11/26/2024,,"1,880.00","-3,534.00",,,,,,,,,,,02dd8f9d-3ed9-4986-a6c4-223843c09541
11/27/2024,,-413.40,"3,896.00",,,,,,,,,,,90daa50b-1d54-4dd6-b378-a64ca5a6ecae
11/28/2024,,0.00,0.00,,,,,,,,,,,3e9eb0db-9e8c-4efe-9619-0ddd1f8cd1ee
11/29/2024,,0.00,0.00,,,,,,,,,,,3ee89b3e-3d77-454d-82b9-f42aab044c86
11/30/2024,,0.00,0.00,,,,,,,,,,,6cac2c22-e74d-457d-a946-b662562f21d6
